image_id,model,method,lesion_type,predicted_grade,hit
IDRiD_55,efficientnetb4,shap,MA,2,0
IDRiD_55,efficientnetb4,shap,HE,2,0
IDRiD_55,efficientnetb4,shap,EX,2,0
IDRiD_55,efficientnetb4,shap,SE,2,0
IDRiD_56,efficientnetb4,shap,MA,3,0
IDRiD_56,efficientnetb4,shap,HE,3,0
IDRiD_56,efficientnetb4,shap,EX,3,0
IDRiD_56,efficientnetb4,shap,SE,3,0
IDRiD_57,efficientnetb4,shap,MA,2,0
IDRiD_57,efficientnetb4,shap,HE,2,0
IDRiD_57,efficientnetb4,shap,EX,2,0
IDRiD_58,efficientnetb4,shap,MA,3,0
IDRiD_58,efficientnetb4,shap,HE,3,0
IDRiD_58,efficientnetb4,shap,EX,3,0
IDRiD_59,efficientnetb4,shap,MA,3,0
IDRiD_59,efficientnetb4,shap,HE,3,0
IDRiD_59,efficientnetb4,shap,EX,3,0
IDRiD_59,efficientnetb4,shap,SE,3,0
IDRiD_60,efficientnetb4,shap,MA,3,0
IDRiD_60,efficientnetb4,shap,HE,3,0
IDRiD_60,efficientnetb4,shap,EX,3,0
IDRiD_60,efficientnetb4,shap,SE,3,0
IDRiD_61,efficientnetb4,shap,MA,3,0
IDRiD_61,efficientnetb4,shap,HE,3,0
IDRiD_61,efficientnetb4,shap,EX,3,0
IDRiD_61,efficientnetb4,shap,SE,3,0
IDRiD_62,efficientnetb4,shap,MA,2,0
IDRiD_62,efficientnetb4,shap,HE,2,0
IDRiD_62,efficientnetb4,shap,EX,2,0
IDRiD_63,efficientnetb4,shap,MA,2,0
IDRiD_63,efficientnetb4,shap,HE,2,0
IDRiD_63,efficientnetb4,shap,EX,2,0
IDRiD_64,efficientnetb4,shap,MA,2,0
IDRiD_64,efficientnetb4,shap,HE,2,0
IDRiD_64,efficientnetb4,shap,EX,2,0
IDRiD_64,efficientnetb4,shap,SE,2,0
IDRiD_65,efficientnetb4,shap,MA,4,0
IDRiD_65,efficientnetb4,shap,HE,4,0
IDRiD_65,efficientnetb4,shap,EX,4,0
IDRiD_66,efficientnetb4,shap,MA,3,0
IDRiD_66,efficientnetb4,shap,HE,3,0
IDRiD_66,efficientnetb4,shap,EX,3,0
IDRiD_67,efficientnetb4,shap,MA,4,0
IDRiD_67,efficientnetb4,shap,HE,4,0
IDRiD_67,efficientnetb4,shap,EX,4,0
IDRiD_67,efficientnetb4,shap,SE,4,0
IDRiD_68,efficientnetb4,shap,MA,4,0
IDRiD_68,efficientnetb4,shap,HE,4,0
IDRiD_68,efficientnetb4,shap,EX,4,0
IDRiD_68,efficientnetb4,shap,SE,4,0
IDRiD_69,efficientnetb4,shap,MA,4,0
IDRiD_69,efficientnetb4,shap,HE,4,0
IDRiD_69,efficientnetb4,shap,EX,4,0
IDRiD_70,efficientnetb4,shap,MA,3,0
IDRiD_70,efficientnetb4,shap,HE,3,0
IDRiD_70,efficientnetb4,shap,EX,3,0
IDRiD_70,efficientnetb4,shap,SE,3,0
IDRiD_71,efficientnetb4,shap,MA,2,0
IDRiD_71,efficientnetb4,shap,HE,2,0
IDRiD_71,efficientnetb4,shap,EX,2,0
IDRiD_71,efficientnetb4,shap,SE,2,0
IDRiD_72,efficientnetb4,shap,MA,2,0
IDRiD_72,efficientnetb4,shap,HE,2,0
IDRiD_72,efficientnetb4,shap,EX,2,0
IDRiD_72,efficientnetb4,shap,SE,2,0
IDRiD_73,efficientnetb4,shap,MA,2,0
IDRiD_73,efficientnetb4,shap,HE,2,0
IDRiD_73,efficientnetb4,shap,EX,2,0
IDRiD_73,efficientnetb4,shap,SE,2,0
IDRiD_74,efficientnetb4,shap,MA,3,0
IDRiD_74,efficientnetb4,shap,HE,3,0
IDRiD_74,efficientnetb4,shap,EX,3,0
IDRiD_74,efficientnetb4,shap,SE,3,0
IDRiD_75,efficientnetb4,shap,MA,3,0
IDRiD_75,efficientnetb4,shap,HE,3,0
IDRiD_75,efficientnetb4,shap,EX,3,0
IDRiD_75,efficientnetb4,shap,SE,3,0
IDRiD_76,efficientnetb4,shap,MA,4,0
IDRiD_76,efficientnetb4,shap,HE,4,0
IDRiD_76,efficientnetb4,shap,EX,4,0
IDRiD_77,efficientnetb4,shap,MA,2,0
IDRiD_77,efficientnetb4,shap,HE,2,0
IDRiD_77,efficientnetb4,shap,EX,2,0
IDRiD_78,efficientnetb4,shap,MA,3,0
IDRiD_78,efficientnetb4,shap,HE,3,0
IDRiD_78,efficientnetb4,shap,EX,3,0
IDRiD_79,efficientnetb4,shap,MA,3,0
IDRiD_79,efficientnetb4,shap,HE,3,0
IDRiD_79,efficientnetb4,shap,EX,3,0
IDRiD_80,efficientnetb4,shap,MA,1,0
IDRiD_80,efficientnetb4,shap,HE,1,0
IDRiD_80,efficientnetb4,shap,EX,1,0
IDRiD_81,efficientnetb4,shap,MA,3,0
IDRiD_81,efficientnetb4,shap,HE,3,0
IDRiD_81,efficientnetb4,shap,EX,3,0
