image_id,model,method,lesion_type,predicted_grade,hit
IDRiD_55,resnet50,gradcam,MA,2,0
IDRiD_55,resnet50,gradcam,HE,2,0
IDRiD_55,resnet50,gradcam,EX,2,0
IDRiD_55,resnet50,gradcam,SE,2,0
IDRiD_56,resnet50,gradcam,MA,3,0
IDRiD_56,resnet50,gradcam,HE,3,0
IDRiD_56,resnet50,gradcam,EX,3,0
IDRiD_56,resnet50,gradcam,SE,3,0
IDRiD_57,resnet50,gradcam,MA,2,0
IDRiD_57,resnet50,gradcam,HE,2,0
IDRiD_57,resnet50,gradcam,EX,2,0
IDRiD_58,resnet50,gradcam,MA,2,0
IDRiD_58,resnet50,gradcam,HE,2,0
IDRiD_58,resnet50,gradcam,EX,2,0
IDRiD_59,resnet50,gradcam,MA,2,0
IDRiD_59,resnet50,gradcam,HE,2,0
IDRiD_59,resnet50,gradcam,EX,2,0
IDRiD_59,resnet50,gradcam,SE,2,0
IDRiD_60,resnet50,gradcam,MA,2,0
IDRiD_60,resnet50,gradcam,HE,2,0
IDRiD_60,resnet50,gradcam,EX,2,0
IDRiD_60,resnet50,gradcam,SE,2,0
IDRiD_61,resnet50,gradcam,MA,3,0
IDRiD_61,resnet50,gradcam,HE,3,1
IDRiD_61,resnet50,gradcam,EX,3,0
IDRiD_61,resnet50,gradcam,SE,3,0
IDRiD_62,resnet50,gradcam,MA,2,0
IDRiD_62,resnet50,gradcam,HE,2,0
IDRiD_62,resnet50,gradcam,EX,2,0
IDRiD_63,resnet50,gradcam,MA,2,0
IDRiD_63,resnet50,gradcam,HE,2,0
IDRiD_63,resnet50,gradcam,EX,2,0
IDRiD_64,resnet50,gradcam,MA,2,0
IDRiD_64,resnet50,gradcam,HE,2,0
IDRiD_64,resnet50,gradcam,EX,2,0
IDRiD_64,resnet50,gradcam,SE,2,0
IDRiD_65,resnet50,gradcam,MA,3,0
IDRiD_65,resnet50,gradcam,HE,3,0
IDRiD_65,resnet50,gradcam,EX,3,0
IDRiD_66,resnet50,gradcam,MA,2,0
IDRiD_66,resnet50,gradcam,HE,2,0
IDRiD_66,resnet50,gradcam,EX,2,1
IDRiD_67,resnet50,gradcam,MA,4,0
IDRiD_67,resnet50,gradcam,HE,4,0
IDRiD_67,resnet50,gradcam,EX,4,0
IDRiD_67,resnet50,gradcam,SE,4,0
IDRiD_68,resnet50,gradcam,MA,4,0
IDRiD_68,resnet50,gradcam,HE,4,0
IDRiD_68,resnet50,gradcam,EX,4,0
IDRiD_68,resnet50,gradcam,SE,4,0
IDRiD_69,resnet50,gradcam,MA,4,0
IDRiD_69,resnet50,gradcam,HE,4,0
IDRiD_69,resnet50,gradcam,EX,4,0
IDRiD_70,resnet50,gradcam,MA,3,0
IDRiD_70,resnet50,gradcam,HE,3,0
IDRiD_70,resnet50,gradcam,EX,3,0
IDRiD_70,resnet50,gradcam,SE,3,0
IDRiD_71,resnet50,gradcam,MA,2,0
IDRiD_71,resnet50,gradcam,HE,2,0
IDRiD_71,resnet50,gradcam,EX,2,0
IDRiD_71,resnet50,gradcam,SE,2,0
IDRiD_72,resnet50,gradcam,MA,2,0
IDRiD_72,resnet50,gradcam,HE,2,0
IDRiD_72,resnet50,gradcam,EX,2,0
IDRiD_72,resnet50,gradcam,SE,2,0
IDRiD_73,resnet50,gradcam,MA,2,0
IDRiD_73,resnet50,gradcam,HE,2,0
IDRiD_73,resnet50,gradcam,EX,2,0
IDRiD_73,resnet50,gradcam,SE,2,0
IDRiD_74,resnet50,gradcam,MA,3,0
IDRiD_74,resnet50,gradcam,HE,3,0
IDRiD_74,resnet50,gradcam,EX,3,0
IDRiD_74,resnet50,gradcam,SE,3,0
IDRiD_75,resnet50,gradcam,MA,3,0
IDRiD_75,resnet50,gradcam,HE,3,0
IDRiD_75,resnet50,gradcam,EX,3,0
IDRiD_75,resnet50,gradcam,SE,3,0
IDRiD_76,resnet50,gradcam,MA,3,0
IDRiD_76,resnet50,gradcam,HE,3,0
IDRiD_76,resnet50,gradcam,EX,3,0
IDRiD_77,resnet50,gradcam,MA,3,0
IDRiD_77,resnet50,gradcam,HE,3,0
IDRiD_77,resnet50,gradcam,EX,3,0
IDRiD_78,resnet50,gradcam,MA,2,0
IDRiD_78,resnet50,gradcam,HE,2,0
IDRiD_78,resnet50,gradcam,EX,2,0
IDRiD_79,resnet50,gradcam,MA,3,0
IDRiD_79,resnet50,gradcam,HE,3,0
IDRiD_79,resnet50,gradcam,EX,3,1
IDRiD_80,resnet50,gradcam,MA,2,0
IDRiD_80,resnet50,gradcam,HE,2,0
IDRiD_80,resnet50,gradcam,EX,2,0
IDRiD_81,resnet50,gradcam,MA,3,0
IDRiD_81,resnet50,gradcam,HE,3,0
IDRiD_81,resnet50,gradcam,EX,3,0
