image_id,model,method,lesion_type,predicted_grade,hit
IDRiD_55,vit_b16,attention_rollout,MA,2,0
IDRiD_55,vit_b16,attention_rollout,HE,2,0
IDRiD_55,vit_b16,attention_rollout,EX,2,0
IDRiD_55,vit_b16,attention_rollout,SE,2,0
IDRiD_56,vit_b16,attention_rollout,MA,1,0
IDRiD_56,vit_b16,attention_rollout,HE,1,0
IDRiD_56,vit_b16,attention_rollout,EX,1,0
IDRiD_56,vit_b16,attention_rollout,SE,1,0
IDRiD_57,vit_b16,attention_rollout,MA,4,0
IDRiD_57,vit_b16,attention_rollout,HE,4,0
IDRiD_57,vit_b16,attention_rollout,EX,4,0
IDRiD_58,vit_b16,attention_rollout,MA,0,0
IDRiD_58,vit_b16,attention_rollout,HE,0,0
IDRiD_58,vit_b16,attention_rollout,EX,0,0
IDRiD_59,vit_b16,attention_rollout,MA,2,0
IDRiD_59,vit_b16,attention_rollout,HE,2,0
IDRiD_59,vit_b16,attention_rollout,EX,2,0
IDRiD_59,vit_b16,attention_rollout,SE,2,0
IDRiD_60,vit_b16,attention_rollout,MA,1,0
IDRiD_60,vit_b16,attention_rollout,HE,1,0
IDRiD_60,vit_b16,attention_rollout,EX,1,0
IDRiD_60,vit_b16,attention_rollout,SE,1,0
IDRiD_61,vit_b16,attention_rollout,MA,4,0
IDRiD_61,vit_b16,attention_rollout,HE,4,0
IDRiD_61,vit_b16,attention_rollout,EX,4,0
IDRiD_61,vit_b16,attention_rollout,SE,4,0
IDRiD_62,vit_b16,attention_rollout,MA,2,0
IDRiD_62,vit_b16,attention_rollout,HE,2,0
IDRiD_62,vit_b16,attention_rollout,EX,2,0
IDRiD_63,vit_b16,attention_rollout,MA,0,0
IDRiD_63,vit_b16,attention_rollout,HE,0,0
IDRiD_63,vit_b16,attention_rollout,EX,0,0
IDRiD_64,vit_b16,attention_rollout,MA,2,0
IDRiD_64,vit_b16,attention_rollout,HE,2,0
IDRiD_64,vit_b16,attention_rollout,EX,2,0
IDRiD_64,vit_b16,attention_rollout,SE,2,0
IDRiD_65,vit_b16,attention_rollout,MA,3,0
IDRiD_65,vit_b16,attention_rollout,HE,3,0
IDRiD_65,vit_b16,attention_rollout,EX,3,0
IDRiD_66,vit_b16,attention_rollout,MA,2,0
IDRiD_66,vit_b16,attention_rollout,HE,2,0
IDRiD_66,vit_b16,attention_rollout,EX,2,0
IDRiD_67,vit_b16,attention_rollout,MA,4,0
IDRiD_67,vit_b16,attention_rollout,HE,4,0
IDRiD_67,vit_b16,attention_rollout,EX,4,0
IDRiD_67,vit_b16,attention_rollout,SE,4,0
IDRiD_68,vit_b16,attention_rollout,MA,1,0
IDRiD_68,vit_b16,attention_rollout,HE,1,0
IDRiD_68,vit_b16,attention_rollout,EX,1,0
IDRiD_68,vit_b16,attention_rollout,SE,1,0
IDRiD_69,vit_b16,attention_rollout,MA,2,0
IDRiD_69,vit_b16,attention_rollout,HE,2,0
IDRiD_69,vit_b16,attention_rollout,EX,2,0
IDRiD_70,vit_b16,attention_rollout,MA,2,0
IDRiD_70,vit_b16,attention_rollout,HE,2,0
IDRiD_70,vit_b16,attention_rollout,EX,2,0
IDRiD_70,vit_b16,attention_rollout,SE,2,0
IDRiD_71,vit_b16,attention_rollout,MA,0,0
IDRiD_71,vit_b16,attention_rollout,HE,0,0
IDRiD_71,vit_b16,attention_rollout,EX,0,0
IDRiD_71,vit_b16,attention_rollout,SE,0,0
IDRiD_72,vit_b16,attention_rollout,MA,4,0
IDRiD_72,vit_b16,attention_rollout,HE,4,0
IDRiD_72,vit_b16,attention_rollout,EX,4,0
IDRiD_72,vit_b16,attention_rollout,SE,4,0
IDRiD_73,vit_b16,attention_rollout,MA,2,0
IDRiD_73,vit_b16,attention_rollout,HE,2,0
IDRiD_73,vit_b16,attention_rollout,EX,2,0
IDRiD_73,vit_b16,attention_rollout,SE,2,0
IDRiD_74,vit_b16,attention_rollout,MA,1,0
IDRiD_74,vit_b16,attention_rollout,HE,1,0
IDRiD_74,vit_b16,attention_rollout,EX,1,0
IDRiD_74,vit_b16,attention_rollout,SE,1,0
IDRiD_75,vit_b16,attention_rollout,MA,2,0
IDRiD_75,vit_b16,attention_rollout,HE,2,0
IDRiD_75,vit_b16,attention_rollout,EX,2,0
IDRiD_75,vit_b16,attention_rollout,SE,2,0
IDRiD_76,vit_b16,attention_rollout,MA,1,0
IDRiD_76,vit_b16,attention_rollout,HE,1,0
IDRiD_76,vit_b16,attention_rollout,EX,1,0
IDRiD_77,vit_b16,attention_rollout,MA,0,0
IDRiD_77,vit_b16,attention_rollout,HE,0,0
IDRiD_77,vit_b16,attention_rollout,EX,0,0
IDRiD_78,vit_b16,attention_rollout,MA,1,0
IDRiD_78,vit_b16,attention_rollout,HE,1,0
IDRiD_78,vit_b16,attention_rollout,EX,1,0
IDRiD_79,vit_b16,attention_rollout,MA,1,0
IDRiD_79,vit_b16,attention_rollout,HE,1,0
IDRiD_79,vit_b16,attention_rollout,EX,1,0
IDRiD_80,vit_b16,attention_rollout,MA,0,0
IDRiD_80,vit_b16,attention_rollout,HE,0,0
IDRiD_80,vit_b16,attention_rollout,EX,0,0
IDRiD_81,vit_b16,attention_rollout,MA,2,0
IDRiD_81,vit_b16,attention_rollout,HE,2,0
IDRiD_81,vit_b16,attention_rollout,EX,2,0
